subjNum,type,force,response_aligned
17,generated,accompany,0.625
17,generated,bother,0.125
17,generated,capture,1.0
17,generated,encircle,1.0
17,generated,fight,0.875
17,generated,hit,0.875
17,generated,leave,1.0
17,generated,scratch,1.0
18,baseline,accompany,1.0
18,baseline,bother,1.0
18,baseline,capture,0.0
18,baseline,encircle,1.0
18,baseline,fight,0.0
18,baseline,hit,1.0
18,baseline,leave,1.0
18,baseline,scratch,0.0
18,generated,accompany,0.875
18,generated,bother,0.625
18,generated,capture,0.75
18,generated,encircle,1.0
18,generated,fight,0.125
18,generated,hit,0.75
18,generated,leave,1.0
18,generated,scratch,0.0
19,baseline,accompany,0.0
19,baseline,bother,0.0
19,baseline,capture,0.0
19,baseline,encircle,1.0
19,baseline,fight,1.0
19,baseline,hit,1.0
19,baseline,leave,1.0
19,baseline,scratch,1.0
19,generated,accompany,0.25
19,generated,bother,0.375
19,generated,capture,0.375
19,generated,encircle,1.0
19,generated,fight,0.125
19,generated,hit,0.5
19,generated,leave,0.875
19,generated,scratch,0.75
20,baseline,accompany,1.0
20,baseline,bother,1.0
20,baseline,capture,0.0
20,baseline,encircle,1.0
20,baseline,fight,0.0
20,baseline,hit,1.0
20,baseline,leave,1.0
20,baseline,scratch,0.0
20,generated,accompany,0.625
20,generated,bother,0.375
20,generated,capture,0.375
20,generated,encircle,1.0
20,generated,fight,0.0
20,generated,hit,0.625
20,generated,leave,0.625
20,generated,scratch,0.0
22,baseline,accompany,1.0
22,baseline,bother,0.0
22,baseline,capture,0.0
22,baseline,encircle,1.0
22,baseline,fight,0.0
22,baseline,hit,0.0
22,baseline,leave,1.0
22,baseline,scratch,0.0
22,generated,accompany,0.25
22,generated,bother,0.375
22,generated,capture,0.125
22,generated,encircle,1.0
22,generated,fight,0.375
22,generated,hit,0.5
22,generated,leave,1.0
22,generated,scratch,0.0
23,baseline,accompany,0.0
23,baseline,bother,1.0
23,baseline,capture,0.0
23,baseline,encircle,0.0
23,baseline,fight,0.0
23,baseline,hit,0.0
23,baseline,leave,0.0
23,baseline,scratch,0.0
23,generated,accompany,0.125
23,generated,bother,0.625
23,generated,capture,0.25
23,generated,encircle,0.75
23,generated,fight,0.625
23,generated,hit,0.625
23,generated,leave,0.25
23,generated,scratch,0.0
24,baseline,accompany,1.0
24,baseline,bother,0.0
24,baseline,capture,0.0
24,baseline,encircle,1.0
24,baseline,fight,0.0
24,baseline,hit,1.0
24,baseline,leave,1.0
24,baseline,scratch,0.0
24,generated,accompany,0.75
24,generated,bother,0.25
24,generated,capture,0.75
24,generated,encircle,1.0
24,generated,fight,0.125
24,generated,hit,0.75
24,generated,leave,1.0
24,generated,scratch,0.0
25,baseline,accompany,0.0
25,baseline,bother,0.0
25,baseline,capture,0.0
25,baseline,encircle,1.0
25,baseline,fight,0.0
25,baseline,hit,0.0
25,baseline,leave,1.0
25,baseline,scratch,1.0
25,generated,accompany,0.875
25,generated,bother,0.125
25,generated,capture,0.25
25,generated,encircle,1.0
25,generated,fight,0.375
25,generated,hit,1.0
25,generated,leave,0.875
25,generated,scratch,1.0
26,baseline,accompany,0.0
26,baseline,bother,0.0
26,baseline,capture,0.0
26,baseline,encircle,1.0
26,baseline,fight,0.0
26,baseline,hit,1.0
26,baseline,leave,1.0
26,baseline,scratch,0.0
26,generated,accompany,0.125
26,generated,bother,0.625
26,generated,capture,0.125
26,generated,encircle,1.0
26,generated,fight,0.625
26,generated,hit,0.625
26,generated,leave,0.25
26,generated,scratch,0.5
27,baseline,accompany,1.0
27,baseline,bother,0.0
27,baseline,capture,1.0
27,baseline,encircle,1.0
27,baseline,fight,0.0
27,baseline,hit,1.0
27,baseline,leave,1.0
27,baseline,scratch,0.0
27,generated,accompany,0.75
27,generated,bother,0.0
27,generated,capture,1.0
27,generated,encircle,1.0
27,generated,fight,0.25
27,generated,hit,0.625
27,generated,leave,1.0
27,generated,scratch,1.0
28,baseline,accompany,1.0
28,baseline,bother,1.0
28,baseline,capture,0.0
28,baseline,encircle,0.0
28,baseline,fight,0.0
28,baseline,hit,0.0
28,baseline,leave,1.0
28,baseline,scratch,0.0
28,generated,accompany,0.375
28,generated,bother,0.25
28,generated,capture,0.25
28,generated,encircle,0.875
28,generated,fight,0.375
28,generated,hit,0.625
28,generated,leave,0.625
28,generated,scratch,1.0
