subjNum;subjStartDate;subjStartTime;trialIndex;exptId;choicePos;vidPlayCounts;rt;exptVer;options;choice
2287;2025-11-30;08:36:45;4;41;middle;"{""vid1"":5,""vid2"":5,""vid3"":5}";115.688;27;['4806_flirt with', '4793_avoid', '6012_kiss'];4793_avoid
2287;2025-11-30;08:36:45;5;5;left;"{""vid1"":6,""vid2"":6,""vid3"":6}";138.562;27;['5568_push', '5843_huddle with', '4806_flirt with'];5568_push
2287;2025-11-30;08:36:45;6;0;right;"{""vid1"":7,""vid2"":7,""vid3"":7}";172.428;27;['5790_escape', '5902_hit', '4793_avoid'];4793_avoid
2287;2025-11-30;08:36:45;7;15;right;"{""vid1"":8,""vid2"":8,""vid3"":8}";192.994;27;['5843_huddle with', '5788_examine', '6239_pull'];6239_pull
2287;2025-11-30;08:36:45;8;17;middle;"{""vid1"":18,""vid2"":18,""vid3"":9}";215.756;27;['6239_pull', '1121_scratch', '6005_throw'];1121_scratch
2287;2025-11-30;08:36:45;9;40;middle;"{""vid1"":20,""vid2"":20,""vid3"":10}";253.557;27;['5790_escape', '5905_encircle', '6035_capture'];5905_encircle
2287;2025-11-30;08:36:45;10;3;middle;"{""vid1"":11,""vid2"":11,""vid3"":11}";282.093;27;['6079_bother', '6172_hit', '5568_push'];6172_hit
2287;2025-11-30;08:36:45;11;2;left;"{""vid1"":12,""vid2"":12,""vid3"":12}";298.632;27;['5986_fight', '5901_huddle with', '1145_leave'];5986_fight
2287;2025-11-30;08:36:45;12;37;middle;"{""vid1"":13,""vid2"":13,""vid3"":13}";316.213;27;['5987_creep up on', '5568_push', '4861_throw'];5568_push
2287;2025-11-30;08:36:45;13;30;left;"{""vid1"":14,""vid2"":14,""vid3"":14}";331.22;27;['4788_capture', '5875_escape', '5987_creep up on'];4788_capture
2287;2025-11-30;08:36:45;14;26;right;"{""vid1"":15,""vid2"":15,""vid3"":15}";356.701;27;['5787_accompany', '5843_huddle with', '4806_flirt with'];4806_flirt with
2287;2025-11-30;08:36:45;15;8;middle;"{""vid1"":48,""vid2"":16,""vid3"":16}";406.079;27;['5876_creep up on', '6016_scratch', '6239_pull'];6016_scratch
2287;2025-11-30;08:36:45;16;35;middle;"{""vid1"":34,""vid2"":17,""vid3"":17}";538.896;27;['5870_poke', '6004_herd', '5876_creep up on'];6004_herd
2287;2025-11-30;08:36:45;17;20;left;"{""vid1"":18,""vid2"":18,""vid3"":18}";552.448;27;['5570_poke', '5849_approach', '5568_push'];5570_poke
2287;2025-11-30;08:36:45;18;42;middle;"{""vid1"":19,""vid2"":19,""vid3"":19}";565.558;27;['5528_hug', '6004_herd', '6012_kiss'];6004_herd
2287;2025-11-30;08:36:45;19;6;right;"{""vid1"":20,""vid2"":20,""vid3"":20}";592.628;27;['5787_accompany', '1012_push', '4793_avoid'];4793_avoid
2287;2025-11-30;08:36:45;20;9;right;"{""vid1"":21,""vid2"":21,""vid3"":21}";612.19;27;['4861_throw', '5905_encircle', '5875_escape'];5875_escape
2287;2025-11-30;08:36:45;21;43;middle;"{""vid1"":22,""vid2"":22,""vid3"":22}";630.904;27;['5471_ignore', '1167_kiss', '1145_leave'];1167_kiss
2287;2025-11-30;08:36:45;22;32;right;"{""vid1"":23,""vid2"":23,""vid3"":23}";654.023;27;['4806_flirt with', '5870_poke', '5471_ignore'];5471_ignore
2287;2025-11-30;08:36:45;23;16;middle;"{""vid1"":48,""vid2"":24,""vid3"":24}";673.805;27;['5849_approach', '5905_encircle', '5568_push'];5905_encircle
2287;2025-11-30;08:36:45;24;13;right;"{""vid1"":25,""vid2"":25,""vid3"":25}";690.831;27;['6035_capture', '5096_approach', '4397_hug'];4397_hug
2287;2025-11-30;08:36:45;25;44;right;"{""vid1"":52,""vid2"":26,""vid3"":26}";721.935;27;['6026_fight', '5914_tickle', '6034_avoid'];6034_avoid
2287;2025-11-30;08:36:45;26;23;left;"{""vid1"":27,""vid2"":27,""vid3"":27}";764.363;27;['4806_flirt with', '5905_encircle', '1012_push'];4806_flirt with
2287;2025-11-30;08:36:45;27;25;right;"{""vid1"":28,""vid2"":28,""vid3"":28}";777.972;27;['6058_leave', '4861_throw', '6004_herd'];6004_herd
2287;2025-11-30;08:36:45;28;27;right;"{""vid1"":29,""vid2"":29,""vid3"":29}";794.942;27;['6004_herd', '5866_follow', '6058_leave'];6058_leave
2287;2025-11-30;08:36:45;29;14;right;"{""vid1"":30,""vid2"":30,""vid3"":30}";811.246;27;['5870_poke', '1104_tickle', '4788_capture'];4788_capture
2287;2025-11-30;08:36:45;30;18;right;"{""vid1"":31,""vid2"":31,""vid3"":31}";825.28;27;['5568_push', '4788_capture', '6005_throw'];6005_throw
2287;2025-11-30;08:36:45;31;1;middle;"{""vid1"":32,""vid2"":32,""vid3"":32}";851.729;27;['1145_leave', '6172_hit', '6300_accompany'];6172_hit
2287;2025-11-30;08:36:45;32;31;middle;"{""vid1"":33,""vid2"":33,""vid3"":33}";871.562;27;['5788_examine', '1145_leave', '5905_encircle'];1145_leave
2287;2025-11-30;08:36:45;33;38;middle;"{""vid1"":68,""vid2"":34,""vid3"":34}";890.164;27;['1145_leave', '6016_scratch', '5866_follow'];6016_scratch
2287;2025-11-30;08:36:45;34;11;left;"{""vid1"":35,""vid2"":35,""vid3"":35}";910.737;27;['5096_approach', '5843_huddle with', '5901_huddle with'];5096_approach
2287;2025-11-30;08:36:45;35;19;right;"{""vid1"":36,""vid2"":36,""vid3"":36}";929.685;27;['1121_scratch', '4397_hug', '6013_talk to'];6013_talk to
2287;2025-11-30;08:36:45;36;34;right;"{""vid1"":37,""vid2"":37,""vid3"":37}";942.452;27;['1145_leave', '5866_follow', '5528_hug'];5528_hug
2287;2025-11-30;08:36:45;37;4;middle;"{""vid1"":38,""vid2"":38,""vid3"":38}";965.587;27;['4806_flirt with', '1145_leave', '1104_tickle'];1145_leave
2287;2025-11-30;08:36:45;38;29;middle;"{""vid1"":39,""vid2"":39,""vid3"":39}";981.525;27;['6016_scratch', '1167_kiss', '4788_capture'];1167_kiss
2287;2025-11-30;08:36:45;39;36;right;"{""vid1"":80,""vid2"":80,""vid3"":80}";1007.768;27;['5568_push', '6012_kiss', '6035_capture'];6035_capture
2287;2025-11-30;08:36:45;40;22;middle;"{""vid1"":41,""vid2"":82,""vid3"":41}";1028.623;27;['6016_scratch', '5528_hug', '4806_flirt with'];5528_hug
2287;2025-11-30;08:36:45;41;28;middle;"{""vid1"":42,""vid2"":42,""vid3"":42}";1045.417;27;['5948_flirt with', '1145_leave', '1104_tickle'];1145_leave
2287;2025-11-30;08:36:45;42;24;right;"{""vid1"":43,""vid2"":43,""vid3"":43}";1055.35;27;['5528_hug', '5914_tickle', '6012_kiss'];6012_kiss
2287;2025-11-30;08:36:45;43;39;left;"{""vid1"":44,""vid2"":44,""vid3"":44}";1069.4;27;['5570_poke', '6016_scratch', '5870_poke'];5570_poke
2287;2025-11-30;08:36:45;44;10;right;"{""vid1"":45,""vid2"":45,""vid3"":45}";1088.309;27;['1104_tickle', '5787_accompany', '5816_ignore'];5816_ignore
2290;2025-11-30;18:19:40;0;17;left;"{""vid1"":1,""vid2"":1,""vid3"":1}";15.726;30;['5875_escape', '5568_push', '5901_huddle with'];5875_escape
2290;2025-11-30;18:19:40;1;5;left;"{""vid1"":2,""vid2"":2,""vid3"":2}";32.559;30;['5528_hug', '4926_lead', '6079_bother'];5528_hug
2290;2025-11-30;18:19:40;2;9;right;"{""vid1"":3,""vid2"":3,""vid3"":3}";53.092;30;['6013_talk to', '5902_hit', '6004_herd'];6004_herd
2290;2025-11-30;18:19:40;3;30;middle;"{""vid1"":4,""vid2"":4,""vid3"":4}";72.558;30;['1121_scratch', '5471_ignore', '1012_push'];5471_ignore
2290;2025-11-30;18:19:40;4;27;middle;"{""vid1"":5,""vid2"":5,""vid3"":5}";88.591;30;['4861_throw', '6035_capture', '1012_push'];6035_capture
2290;2025-11-30;18:19:40;5;18;right;"{""vid1"":6,""vid2"":6,""vid3"":6}";103.891;30;['5570_poke', '6012_kiss', '6034_avoid'];6034_avoid
2290;2025-11-30;18:19:40;6;35;left;"{""vid1"":7,""vid2"":7,""vid3"":7}";120.191;30;['5528_hug', '6013_talk to', '6035_capture'];5528_hug
2290;2025-11-30;18:19:40;7;39;left;"{""vid1"":8,""vid2"":8,""vid3"":8}";138.444;30;['6005_throw', '5809_pull', '1167_kiss'];6005_throw
2290;2025-11-30;18:19:40;8;25;right;"{""vid1"":9,""vid2"":9,""vid3"":9}";154.777;30;['6012_kiss', '1104_tickle', '5875_escape'];5875_escape
2290;2025-11-30;18:19:40;9;33;middle;"{""vid1"":10,""vid2"":10,""vid3"":10}";171.161;30;['5787_accompany', '1145_leave', '5568_push'];1145_leave
2290;2025-11-30;18:19:40;10;19;right;"{""vid1"":11,""vid2"":11,""vid3"":11}";191.61;30;['6034_avoid', '6058_leave', '1051_herd'];1051_herd
2290;2025-11-30;18:19:40;11;24;left;"{""vid1"":12,""vid2"":12,""vid3"":12}";212.526;30;['5876_creep up on', '4861_throw', '6035_capture'];5876_creep up on
2290;2025-11-30;18:19:40;12;20;left;"{""vid1"":13,""vid2"":13,""vid3"":13}";231.377;30;['6012_kiss', '5876_creep up on', '6034_avoid'];6012_kiss
2290;2025-11-30;18:19:40;13;40;left;"{""vid1"":14,""vid2"":14,""vid3"":14}";249.594;30;['1167_kiss', '5809_pull', '5876_creep up on'];1167_kiss
2290;2025-11-30;18:19:40;14;7;right;"{""vid1"":15,""vid2"":15,""vid3"":15}";266.443;30;['5875_escape', '4926_lead', '5843_huddle with'];5843_huddle with
2290;2025-11-30;18:19:40;15;3;right;"{""vid1"":16,""vid2"":16,""vid3"":16}";281.943;30;['5986_fight', '5987_creep up on', '5096_approach'];5096_approach
2290;2025-11-30;18:19:40;16;42;middle;"{""vid1"":17,""vid2"":17,""vid3"":17}";295.827;30;['5875_escape', '5528_hug', '5568_push'];5528_hug
2290;2025-11-30;18:19:40;17;29;left;"{""vid1"":18,""vid2"":18,""vid3"":18}";313.126;30;['5809_pull', '1051_herd', '6239_pull'];5809_pull
2290;2025-11-30;18:19:40;18;21;middle;"{""vid1"":19,""vid2"":19,""vid3"":19}";329.243;30;['5901_huddle with', '5809_pull', '5902_hit'];5809_pull
2290;2025-11-30;18:19:40;19;28;left;"{""vid1"":20,""vid2"":20,""vid3"":20}";353.243;30;['4397_hug', '5876_creep up on', '4789_bother'];4397_hug
2290;2025-11-30;18:19:40;20;37;middle;"{""vid1"":42,""vid2"":21,""vid3"":21}";370.642;30;['5528_hug', '5843_huddle with', '4397_hug'];5843_huddle with
2290;2025-11-30;18:19:40;21;4;middle;"{""vid1"":22,""vid2"":22,""vid3"":22}";391.842;30;['5843_huddle with', '5866_follow', '5901_huddle with'];5866_follow
2290;2025-11-30;18:19:40;22;11;right;"{""vid1"":23,""vid2"":23,""vid3"":23}";407.775;30;['6239_pull', '5876_creep up on', '1145_leave'];1145_leave
2290;2025-11-30;18:19:40;23;44;left;"{""vid1"":24,""vid2"":24,""vid3"":24}";427.71;30;['5849_approach', '6026_fight', '6035_capture'];5849_approach
2290;2025-11-30;18:19:40;24;1;left;"{""vid1"":25,""vid2"":25,""vid3"":25}";439.709;30;['5878_follow', '4861_throw', '1145_leave'];5878_follow
2290;2025-11-30;18:19:40;25;8;left;"{""vid1"":52,""vid2"":26,""vid3"":26}";468.359;30;['6034_avoid', '4926_lead', '5991_examine'];6034_avoid
2290;2025-11-30;18:19:40;26;32;left;"{""vid1"":27,""vid2"":27,""vid3"":27}";485.275;30;['5878_follow', '6004_herd', '4861_throw'];5878_follow
2290;2025-11-30;18:19:40;27;31;right;"{""vid1"":28,""vid2"":28,""vid3"":28}";511.876;30;['4789_bother', '5875_escape', '5901_huddle with'];5901_huddle with
2290;2025-11-30;18:19:40;28;2;middle;"{""vid1"":58,""vid2"":29,""vid3"":29}";545.143;30;['1012_push', '5986_fight', '6300_accompany'];5986_fight
2290;2025-11-30;18:19:40;29;6;right;"{""vid1"":30,""vid2"":30,""vid3"":30}";565.225;30;['5843_huddle with', '1121_scratch', '6034_avoid'];6034_avoid
2290;2025-11-30;18:19:40;30;23;left;"{""vid1"":31,""vid2"":31,""vid3"":31}";587.642;30;['6172_hit', '5914_tickle', '5902_hit'];6172_hit
2290;2025-11-30;18:19:40;31;41;middle;"{""vid1"":32,""vid2"":32,""vid3"":32}";606.709;30;['5901_huddle with', '1104_tickle', '6035_capture'];1104_tickle
2290;2025-11-30;18:19:40;32;36;right;"{""vid1"":33,""vid2"":33,""vid3"":33}";623.491;30;['4397_hug', '6012_kiss', '5866_follow'];5866_follow
2290;2025-11-30;18:19:40;33;38;right;"{""vid1"":34,""vid2"":34,""vid3"":34}";637.993;30;['5568_push', '1012_push', '5914_tickle'];5914_tickle
2290;2025-11-30;18:19:40;34;10;right;"{""vid1"":35,""vid2"":35,""vid3"":35}";660.175;30;['5876_creep up on', '5878_follow', '5788_examine'];5788_examine
2290;2025-11-30;18:19:40;35;16;left;"{""vid1"":36,""vid2"":36,""vid3"":36}";681.041;30;['5787_accompany', '5096_approach', '6005_throw'];5787_accompany
2290;2025-11-30;18:19:40;36;34;left;"{""vid1"":37,""vid2"":37,""vid3"":37}";700.525;30;['6300_accompany', '5870_poke', '6058_leave'];6300_accompany
2290;2025-11-30;18:19:40;37;26;right;"{""vid1"":38,""vid2"":38,""vid3"":38}";710.257;30;['5528_hug', '5987_creep up on', '5986_fight'];5986_fight
2290;2025-11-30;18:19:40;38;43;middle;"{""vid1"":39,""vid2"":39,""vid3"":39}";731.325;30;['1051_herd', '5570_poke', '6005_throw'];5570_poke
2290;2025-11-30;18:19:40;39;15;right;"{""vid1"":40,""vid2"":40,""vid3"":40}";746.191;30;['4397_hug', '6239_pull', '5471_ignore'];5471_ignore
2290;2025-11-30;18:19:40;40;13;right;"{""vid1"":41,""vid2"":41,""vid3"":41}";760.941;30;['6035_capture', '4861_throw', '1012_push'];1012_push
2290;2025-11-30;18:19:40;41;22;left;"{""vid1"":42,""vid2"":42,""vid3"":42}";778.141;30;['6026_fight', '5568_push', '5987_creep up on'];6026_fight
2290;2025-11-30;18:19:40;42;14;middle;"{""vid1"":43,""vid2"":43,""vid3"":43}";796.575;30;['5870_poke', '4397_hug', '5096_approach'];4397_hug
2290;2025-11-30;18:19:40;43;0;left;"{""vid1"":44,""vid2"":44,""vid3"":44}";820.274;30;['6172_hit', '4408_lead', '6079_bother'];6172_hit
2290;2025-11-30;18:19:40;44;12;middle;"{""vid1"":45,""vid2"":45,""vid3"":45}";835.308;30;['6035_capture', '6079_bother', '5528_hug'];6079_bother
2291;2025-11-30;18:40:36;0;2;middle;"{""vid1"":2,""vid2"":2,""vid3"":2}";24.743;31;['1145_leave', '1121_scratch', '6239_pull'];1121_scratch
2291;2025-11-30;18:40:36;1;43;middle;"{""vid1"":2,""vid2"":4,""vid3"":2}";45.676;31;['5878_follow', '4397_hug', '1104_tickle'];4397_hug
2291;2025-11-30;18:40:36;2;21;right;"{""vid1"":3,""vid2"":3,""vid3"":3}";61.932;31;['1012_push', '5528_hug', '5843_huddle with'];5843_huddle with
2291;2025-11-30;18:40:36;3;6;left;"{""vid1"":8,""vid2"":4,""vid3"":4}";88.394;31;['5843_huddle with', '5866_follow', '5787_accompany'];5843_huddle with
2291;2025-11-30;18:40:36;4;33;middle;"{""vid1"":5,""vid2"":10,""vid3"":5}";113.643;31;['6079_bother', '6005_throw', '4926_lead'];6005_throw
2291;2025-11-30;18:40:36;5;26;left;"{""vid1"":12,""vid2"":12,""vid3"":12}";142.393;31;['6058_leave', '5866_follow', '5987_creep up on'];6058_leave
2291;2025-11-30;18:40:36;6;29;middle;"{""vid1"":14,""vid2"":7,""vid3"":7}";164.493;31;['5987_creep up on', '6300_accompany', '6016_scratch'];6300_accompany
2291;2025-11-30;18:40:36;7;34;right;"{""vid1"":8,""vid2"":8,""vid3"":8}";178.933;31;['5902_hit', '4788_capture', '5870_poke'];5870_poke
2291;2025-11-30;18:40:36;8;8;right;"{""vid1"":9,""vid2"":9,""vid3"":9}";190.493;31;['6016_scratch', '5528_hug', '6035_capture'];6035_capture
2291;2025-11-30;18:40:36;9;12;left;"{""vid1"":10,""vid2"":10,""vid3"":10}";213.776;31;['5471_ignore', '5790_escape', '5987_creep up on'];5471_ignore
