subjNum,subjStartDate,subjStartTime,trialIndex,exptId,label,labelIndex,rt,vidPlayCounts
1006,2025-09-30,22:54:04,6,5931_fight,Play with,9,12.817,1
1006,2025-09-30,22:54:04,7,5954_fight,Bother,8,6.299,1
1006,2025-09-30,22:54:04,8,5988_creep up on,Approach,7,9.433,1
1006,2025-09-30,22:54:04,9,5997_capture,Creep up on,13,9.549,1
1006,2025-09-30,22:54:04,10,6001_ignore,Herd,1,20.816,1
1006,2025-09-30,22:54:04,11,6006_kiss,Accompany,18,22.883,1
1006,2025-09-30,22:54:04,12,6008_flirt with,Lead,25,37.918,1
1006,2025-09-30,22:54:04,13,6016_scratch,Tickle,23,15.599,2
1006,2025-09-30,22:54:04,14,6056_chase,Huddle with,29,22.649,1
1006,2025-09-30,22:54:04,15,2029_encircle,Play with,9,10.001,1
1006,2025-09-30,22:54:04,16,6171_flirt with,Argue with,4,23.401,1
1006,2025-09-30,22:54:04,17,5265_flirt with,Kiss,11,8.116,1
1006,2025-09-30,22:54:04,18,2573_escape,Leave,6,10.167,1
1006,2025-09-30,22:54:04,19,4656_push,Kiss,11,5.765,1
1006,2025-09-30,22:54:04,20,4810_examine,Encircle,24,16.201,1
1006,2025-09-30,22:54:04,21,4820_follow,Examine,5,25.45,1
1006,2025-09-30,22:54:04,22,4846_kiss,Poke,26,21.233,1
1006,2025-09-30,22:54:04,23,4867_accompany,Throw,19,119.684,1
1006,2025-09-30,22:54:04,24,4898_mimic,Ignore,10,32.732,1
1006,2025-09-30,22:54:04,25,4916_mimic,Mimic,14,16.618,1
1006,2025-09-30,22:54:04,26,4940_huddle with,Kiss,11,8.65,1
1006,2025-09-30,22:54:04,27,4946_poke,Bother,8,13.567,1
1006,2025-09-30,22:54:04,28,4949_creep up on,Creep up on,13,13.066,1
1006,2025-09-30,22:54:04,29,860_huddle with,Accompany,18,16.132,1
1006,2025-09-30,22:54:04,30,4984_play with,Encircle,24,4.617,1
1006,2025-09-30,22:54:04,31,4990_mimic,Mimic,14,44.817,1
1006,2025-09-30,22:54:04,32,897_flirt with,Lead,25,66.317,1
1006,2025-09-30,22:54:04,33,952_follow,Ignore,10,20.433,1
1006,2025-09-30,22:54:04,34,5054_leave,Avoid,30,10.716,1
1006,2025-09-30,22:54:04,35,5063_lead,Accompany,18,20.115,1
1006,2025-09-30,22:54:04,36,5070_pull,Pull,2,58.85,2
1006,2025-09-30,22:54:04,37,5130_push,Hit,0,4.57,1
