idx,videoID,label,posA,posB,velA,velB,posMean
12,5986,fight,44.7725818593274,36.6617635673742,27.8537168175339,11.4212952429676,40.7171727133508
11,5814,talk,58.1144162606636,0,32.3554568562412,0,29.0572081303318
45,5471,ignore,48.9755132937907,1.89582181201433,12.1989920314169,1.07198318253805,25.4356675529025
50,4788,capture,38.3168024221716,5.52442528107557,25.1714722602565,5.78760637465401,21.9206138516236
37,6172,hit,36.1581668255721,3.71291980669072,21.2735006703975,2.65457911895902,19.9355433161314
10,5902,hit,38.3335854088111,0,21.5746981842727,0,19.1667927044056
36,1104,tickle,15.8421343814755,22.1312822109026,11.8726350066408,10.8619509216612,18.9867082961891
21,6079,bother,24.8747415173945,7.34978460255149,6.80766446733459,5.42128871994756,16.112263059973
25,5809,pull,9.35272573130199,21.9400720001598,5.7682774929455,20.0025616980789,15.6463988657309
44,4861,throw,13.0927882795655,16.5810080864762,6.46897734904136,11.724738281791,14.8368981830208
47,4793,avoid,15.8803203413974,12.8005099961443,9.47948390133257,9.19106817327008,14.3404151687708
17,6005,throw,11.0095935001547,13.8503993813183,6.23709892505044,9.63688226011295,12.4299964407365
48,4789,bother,14.4581313391988,9.82706295910967,8.02840474053917,6.24805765631886,12.1425971491543
34,5570,poke,21.5450231459235,0,17.0768165289636,0,10.7725115729618
18,5816,ignore,14.133308623883,7.13003963630996,4.93415899207523,2.53383330000617,10.6316741300965
39,6026,fight,11.483033494359,9.05813607902604,8.55685667310533,6.13758011759459,10.2705847866925
38,6013,talk,14.5129722432207,4.81759294194479,5.18056304988574,3.12784731042222,9.66528259258275
52,6239,pull,7.96401644852302,8.67963209471619,6.31210992796216,11.0224987568403,8.3218242716196
15,6004,herd,7.50186524443109,8.99945988546672,4.33648410011873,6.91835442492873,8.25066256494891
49,5568,push,7.76624267756007,7.69462239672254,5.32493291832513,7.40781855492159,7.7304325371413
40,5790,escape,13.5217029194993,1.27280652779337,7.10865395082385,0.772209898443066,7.39725472364634
22,1012,push,8.60166930867687,5.42145401561843,4.38342771631797,4.09140983400666,7.01156166214765
16,5787,accompany,6.48267351363814,6.519927549189,5.92156351010055,4.04057188696871,6.50130053141357
9,5914,tickle,12.7652105826064,0,10.9702529366833,0,6.38260529130318
23,6035,capture,7.98602936237066,4.51831045168631,5.50152689152001,3.22346986282941,6.25216990702848
27,6017,encircle,12.175784588027,0,8.41225772688313,0,6.08789229401349
14,4408,lead,3.53846805438757,8.43988657903018,4.35463180643147,10.4091809553388,5.98917731670888
13,5875,escape,8.58076958252671,3.33065901673773,6.0498575305376,2.54649142757771,5.95571429963222
24,5878,follow,8.57519395324767,3.22299823510518,3.30182516513207,2.56891027851045,5.89909609417642
43,6300,accompany,5.74604615516645,5.81091560098949,4.05108093459865,3.72506758192032,5.77848087807797
54,5905,encircle,11.4519163332324,0,6.80488978826302,0,5.72595816661618
41,4926,lead,3.99055277997546,5.98195854911202,3.80862491989964,4.47408334675608,4.98625566454374
42,1051,herd,5.57461475486186,4.06996866243017,3.123224597072,2.57406312488334,4.82229170864601
32,4806,flirt,4.01594533470396,4.74303569304847,2.11687945811785,3.74960888709082,4.37949051387621
33,1121,scratch,8.70805732866289,0,5.79731106752181,0,4.35402866433144
6,6016,scratch,8.55708856795369,0,6.83468472723025,0,4.27854428397685
20,6034,avoid,5.8852478123145,2.65443709399416,3.35385505842191,1.56207625436738,4.26984245315433
46,6058,leave,4.49787616955787,3.0932211289062,3.69347584582539,1.98940931954317,3.79554864923203
31,5096,approach,5.31155357313518,1.82213596626456,2.60642532238483,0.810542274137781,3.56684476969987
53,5788,examine,6.89490011071561,0,4.46527007518005,0,3.44745005535781
51,5866,follow,4.44662030004725,2.23585562883953,1.38350955185517,1.81314947242811,3.34123796444339
7,5870,poke,3.60539120382744,2.90721620217846,1.07453306071755,1.22782905259324,3.25630370300295
30,1167,kiss,4.11505151381482,2.36931614874798,2.71048411802168,1.90131871646645,3.2421838312814
5,5948,flirt,5.36634852220202,0,3.30574531448318,0,2.68317426110101
26,5991,examine,5.23571939151629,0,3.70605494845723,0,2.61785969575815
8,5987,creep,5.21621966653154,0,4.36437046979848,0,2.60810983326577
28,5528,hug,5.11735479143539,0,2.50276484578114,0,2.5586773957177
19,1145,leave,4.58036079533825,0,1.85195871182458,0,2.29018039766912
35,5876,creep,2.58180064615494,1.8887717766203,1.3192726141061,1.04351388470092,2.23528621138762
3,6012,kiss,4.42815955251524,0,2.566740070701,0,2.21407977625762
1,4397,hug,3.36423993666756,0.247426249553659,0.829483925763112,0.077381209459738,1.80583309311061
2,5843,huddle,0.806547019688428,2.31891483177453,0.465099805938641,0.843363832398501,1.56273092573148
4,5849,approach,2.36627472152334,0,0.88586570846989,0,1.18313736076167
29,5901,huddle,2.01280304210704,0,1.12230755908663,0,1.00640152105352
