idx,videoID,label,origPosMean,ctrlPosMean,delta
39,6026,fight,10.2705847866925,35.9109259575419,25.6403411708494
12,5986,fight,40.7171727133508,58.9861208205349,18.2689481071842
10,5902,hit,19.1667927044056,33.4834112174095,14.316618513004
27,6017,encircle,6.08789229401349,16.785233922164,10.6973416281505
11,5814,talk,29.0572081303318,39.3916387981444,10.3344306678126
30,1167,kiss,3.2421838312814,11.9209012377255,8.67871740644414
17,6005,throw,12.4299964407365,20.9850818908274,8.55508545009094
37,6172,hit,19.9355433161314,27.6729702623878,7.73742694625636
34,5570,poke,10.7725115729618,16.0512981069948,5.27878653403305
49,5568,push,7.7304325371413,12.8883234513832,5.15789091424189
9,5914,tickle,6.38260529130318,9.69144470761672,3.30883941631353
46,6058,leave,3.79554864923203,6.81509765009537,3.01954900086334
40,5790,escape,7.39725472364634,9.731964705365,2.33470998171866
5,5948,flirt,2.68317426110101,4.83647872163421,2.1533044605332
20,6034,avoid,4.26984245315433,6.29840438845025,2.02856193529591
33,1121,scratch,4.35402866433144,6.24047454324388,1.88644587891243
14,4408,lead,5.98917731670888,7.86420458535127,1.87502726864239
42,1051,herd,4.82229170864601,6.61480781847779,1.79251610983177
19,1145,leave,2.29018039766912,4.02592713124547,1.73574673357635
2,5843,huddle,1.56273092573148,3.27913550411747,1.71640457838599
23,6035,capture,6.25216990702848,7.82416028393661,1.57199037690812
26,5991,examine,2.61785969575815,3.96351795491707,1.34565825915892
31,5096,approach,3.56684476969987,4.7006593772199,1.13381460752003
22,1012,push,7.01156166214765,8.07199271671228,1.06043105456463
3,6012,kiss,2.21407977625762,3.24308467933076,1.02900490307314
18,5816,ignore,10.6316741300965,11.6268381829992,0.995164052902746
15,6004,herd,8.25066256494891,9.02175780293758,0.771095237988675
35,5876,creep,2.23528621138762,2.83053104969808,0.595244838310458
6,6016,scratch,4.27854428397685,4.69189033914072,0.413346055163876
8,5987,creep,2.60810983326577,2.97069561556476,0.362585782298989
53,5788,examine,3.44745005535781,3.79173822377318,0.344288168415368
54,5905,encircle,5.72595816661618,6.02887213394594,0.30291396732976
29,5901,huddle,1.00640152105352,1.29966936610228,0.293267845048763
32,4806,flirt,4.37949051387621,4.47281585115925,0.0933253372830398
47,4793,avoid,14.3404151687708,14.4231219898993,0.0827068211284505
4,5849,approach,1.18313736076167,1.19919154133093,0.0160541805692533
43,6300,accompany,5.77848087807797,5.60787039854042,-0.170610479537554
7,5870,poke,3.25630370300295,2.93227258449499,-0.32403111850796
28,5528,hug,2.5586773957177,2.21199971601305,-0.346677679704647
25,5809,pull,15.6463988657309,15.2549144681852,-0.391484397545733
16,5787,accompany,6.50130053141357,6.08488512189957,-0.416415409514002
51,5866,follow,3.34123796444339,2.80775552877824,-0.533482435665156
13,5875,escape,5.95571429963222,5.39860346412348,-0.557110835508735
24,5878,follow,5.89909609417642,5.00982728267913,-0.889268811497296
1,4397,hug,1.80583309311061,0.39519519562961,-1.410637897481
41,4926,lead,4.98625566454374,3.49733510165837,-1.48892056288537
52,6239,pull,8.3218242716196,6.43423087687022,-1.88759339474938
48,4789,bother,12.1425971491543,10.0854611901249,-2.05713595902938
36,1104,tickle,18.9867082961891,15.9218177701678,-3.06489052602126
44,4861,throw,14.8368981830208,11.2578866463006,-3.57901153672023
38,6013,talk,9.66528259258275,5.43779938669723,-4.22748320588552
50,4788,capture,21.9206138516236,17.2137761873703,-4.70683766425335
21,6079,bother,16.112263059973,9.58041000025121,-6.53185305972178
45,5471,ignore,25.4356675529025,17.1602916876759,-8.27537586522661
