	6017_encircle	5905_encircle	5991_examine	5788_examine	5787_accompany	6300_accompany	4408_lead	4926_lead	5809_pull	6239_pull	6034_avoid	4793_avoid	5816_ignore	5471_ignore	6079_bother	4789_bother	6004_herd	1051_herd	5878_follow	5866_follow	6035_capture	4788_capture	6005_throw	4861_throw	1145_leave	6058_leave	5875_escape	5790_escape	5987_creep up on	5876_creep up on	5849_approach	5096_approach	4397_hug	5528_hug	5843_huddle with	5901_huddle with	6012_kiss	1167_kiss	5948_flirt with	4806_flirt with	5870_poke	5570_poke	6016_scratch	1121_scratch	5914_tickle	1104_tickle	5902_hit	6172_hit	5986_fight	6026_fight	5814_talk to	6013_talk to	1012_push	5568_push
6017_encircle	0.0	0.288135593220339	0.41509433962264153	0.38	0.6875	0.6851851851851851	0.75	0.8356164383561644	0.8253968253968254	0.7857142857142857	0.8723404255319149	0.84375	0.8703703703703703	0.5476190476190477	0.7	0.75	0.8421052631578947	0.782608695652174	0.78	0.8360655737704918	0.8307692307692307	0.7887323943661972	0.7966101694915254	0.8142857142857143	0.6296296296296297	0.736842105263158	0.6666666666666667	0.8333333333333334	0.847457627118644	0.6888888888888889	0.6949152542372881	0.7848101265822784	0.7887323943661972	0.6428571428571428	0.7536231884057971	0.8787878787878788	0.6785714285714286	0.7358490566037736	0.6111111111111112	0.7	0.7735849056603774	0.7096774193548387	0.8	0.6779661016949152	0.7692307692307692	0.8709677419354839	0.6666666666666667	0.8157894736842105	0.8266666666666667	0.7241379310344828	0.7049180327868853	0.8723404255319149	0.9	0.7804878048780488
5905_encircle	0.288135593220339	0.0	0.5102040816326531	0.24528301886792447	0.48	0.6875	0.7301587301587302	0.7865168539325843	0.8666666666666667	0.736842105263158	0.6666666666666667	0.72	0.8095238095238095	0.5609756097560976	0.65	0.782608695652174	0.6599999999999999	0.8448275862068966	0.6808510638297872	0.625	0.92	0.5945945945945945	0.6415094339622642	0.7761194029850746	0.7222222222222222	0.7735849056603774	0.7272727272727273	0.8245614035087719	0.6037735849056604	0.7205882352941176	0.5555555555555556	0.54	0.7222222222222222	0.7083333333333333	0.6041666666666667	0.6206896551724138	0.4444444444444444	0.6721311475409837	0.5121951219512195	0.7021276595744681	0.6222222222222222	0.7333333333333334	0.5	0.7027027027027026	0.6781609195402298	0.8333333333333334	0.6206896551724138	0.7704918032786885	0.8307692307692307	0.8444444444444444	0.7258064516129032	0.6666666666666667	0.8490566037735849	0.8448275862068966
5991_examine	0.41509433962264153	0.5102040816326531	0.0	0.3829787234042553	0.6599999999999999	0.641025641025641	0.7678571428571428	0.5769230769230769	0.8269230769230769	0.8181818181818181	0.7674418604651163	0.7105263157894737	0.8507462686567164	0.5769230769230769	0.625	0.6727272727272727	0.7346938775510203	0.6712328767123288	0.8059701492537313	0.6727272727272727	0.7608695652173914	0.8	0.7321428571428572	0.7931034482758621	0.6862745098039216	0.7666666666666666	0.65625	0.7169811320754718	0.6428571428571428	0.7	0.453125	0.7358490566037736	0.7619047619047619	0.6857142857142857	0.4878048780487805	0.6428571428571428	0.5517241379310345	0.6491228070175439	0.35416666666666663	0.6779661016949152	0.625	0.6888888888888889	0.5636363636363637	0.5593220338983051	0.6666666666666667	0.847457627118644	0.7846153846153846	0.7833333333333333	0.78125	0.7916666666666666	0.6521739130434783	0.7017543859649122	0.7441860465116279	0.8181818181818181
5788_examine	0.38	0.24528301886792447	0.3829787234042553	0.0	0.5	0.6129032258064516	0.711864406779661	0.7796610169491526	0.8235294117647058	0.8923076923076922	0.6349206349206349	0.7619047619047619	0.75	0.6	0.7321428571428572	0.6140350877192983	0.7058823529411764	0.8421052631578947	0.6896551724137931	0.7222222222222222	0.8382352941176471	0.7377049180327868	0.6025641025641026	0.7894736842105263	0.7241379310344828	0.8723404255319149	0.7894736842105263	0.8524590163934427	0.55	0.6909090909090909	0.6206896551724138	0.574468085106383	0.6451612903225806	0.6875	0.6888888888888889	0.728813559322034	0.5434782608695652	0.6666666666666667	0.5925925925925926	0.6363636363636364	0.6567164179104478	0.6923076923076923	0.7234042553191489	0.607843137254902	0.6964285714285714	0.679245283018868	0.6444444444444444	0.8	0.8596491228070176	0.734375	0.7169811320754718	0.7115384615384616	0.9107142857142857	0.76
5787_accompany	0.6875	0.48	0.6599999999999999	0.5	0.0	0.33333333333333337	0.4363636363636364	0.6551724137931034	0.44999999999999996	0.64	0.6041666666666667	0.53125	0.603448275862069	0.728813559322034	0.6052631578947368	0.6451612903225806	0.4285714285714286	0.43939393939393945	0.55	0.647887323943662	0.6296296296296297	0.7142857142857143	0.7090909090909091	0.5675675675675675	0.8545454545454545	0.7450980392156863	0.6891891891891893	0.619718309859155	0.6222222222222222	0.4492753623188406	0.8571428571428572	0.5882352941176471	0.7083333333333333	0.7307692307692308	0.6666666666666667	0.8571428571428572	0.676056338028169	0.6140350877192983	0.6923076923076923	0.7058823529411764	0.6790123456790124	0.8627450980392157	0.8166666666666667	0.7	0.7777777777777778	0.7580645161290323	0.8367346938775511	0.7083333333333333	0.8260869565217391	0.7205882352941176	0.8181818181818181	0.6181818181818182	0.6363636363636364	0.6938775510204082
6300_accompany	0.6851851851851851	0.6875	0.641025641025641	0.6129032258064516	0.33333333333333337	0.0	0.3650793650793651	0.39682539682539686	0.5535714285714286	0.6538461538461539	0.6296296296296297	0.3191489361702128	0.78	0.7142857142857143	0.578125	0.6734693877551021	0.5357142857142857	0.4814814814814815	0.5833333333333333	0.4918032786885246	0.537037037037037	0.8125	0.7	0.7321428571428572	0.7142857142857143	0.7258064516129032	0.5853658536585367	0.7441860465116279	0.7962962962962963	0.5066666666666666	0.7846153846153846	0.6	0.6285714285714286	0.8679245283018868	0.6774193548387097	0.8627450980392157	0.8135593220338984	0.7142857142857143	0.8059701492537313	0.6923076923076923	0.7792207792207793	0.8923076923076922	0.7959183673469388	0.8	0.7101449275362319	0.7258064516129032	0.8431372549019608	0.7457627118644068	0.7682926829268293	0.7758620689655172	0.7291666666666667	0.5740740740740741	0.6551724137931034	0.7234042553191489
4408_lead	0.75	0.7301587301587302	0.7678571428571428	0.711864406779661	0.4363636363636364	0.3650793650793651	0.0	0.4782608695652174	0.578125	0.4693877551020408	0.5185185185185186	0.48051948051948057	0.6923076923076923	0.7580645161290323	0.475	0.5333333333333333	0.3880597014925373	0.5135135135135135	0.4385964912280702	0.653061224489796	0.5849056603773585	0.7454545454545455	0.5735294117647058	0.6666666666666667	0.5294117647058824	0.5441176470588236	0.3207547169811321	0.7454545454545455	0.7413793103448276	0.38596491228070173	0.7884615384615384	0.6222222222222222	0.8088235294117647	0.8103448275862069	0.6923076923076923	0.8285714285714285	0.7090909090909091	0.6515151515151515	0.7313432835820896	0.6351351351351351	0.625	0.7857142857142857	0.7692307692307692	0.7213114754098361	0.7954545454545454	0.7045454545454546	0.7169811320754718	0.8372093023255813	0.7735849056603774	0.7121212121212122	0.875	0.6170212765957447	0.5142857142857142	0.7058823529411764
4926_lead	0.8356164383561644	0.7865168539325843	0.5769230769230769	0.7796610169491526	0.6551724137931034	0.39682539682539686	0.4782608695652174	0.0	0.6031746031746033	0.3846153846153846	0.6363636363636364	0.509090909090909	0.7090909090909091	0.7358490566037736	0.6233766233766234	0.6571428571428571	0.6911764705882353	0.5	0.4339622641509434	0.49122807017543857	0.5714285714285714	0.6774193548387097	0.6097560975609756	0.6571428571428571	0.6153846153846154	0.5970149253731343	0.6052631578947368	0.5862068965517242	0.6666666666666667	0.5555555555555556	0.5777777777777777	0.6	0.6724137931034483	0.6140350877192983	0.5652173913043479	0.6615384615384615	0.6833333333333333	0.6578947368421053	0.6170212765957447	0.5490196078431373	0.6065573770491803	0.7121212121212122	0.5921052631578947	0.7058823529411764	0.7564102564102564	0.631578947368421	0.6578947368421053	0.6444444444444444	0.8125	0.5606060606060606	0.8333333333333334	0.6666666666666667	0.65625	0.5483870967741935
5809_pull	0.8253968253968254	0.8666666666666667	0.8269230769230769	0.8235294117647058	0.44999999999999996	0.5535714285714286	0.578125	0.6031746031746033	0.0	0.42105263157894735	0.4078947368421053	0.3466666666666667	0.34615384615384615	0.7297297297297297	0.4651162790697675	0.6363636363636364	0.34545454545454546	0.6875	0.5540540540540541	0.7291666666666667	0.5	0.5283018867924528	0.5490196078431373	0.6666666666666667	0.5964912280701755	0.6229508196721312	0.6296296296296297	0.696969696969697	0.9523809523809523	0.42592592592592593	0.8461538461538461	0.5	0.813953488372093	0.7777777777777778	0.85	0.8113207547169812	0.7058823529411764	0.7551020408163265	0.84	0.8297872340425532	0.851063829787234	0.8360655737704918	0.925	0.875	0.8292682926829268	0.7818181818181819	0.8392857142857143	0.7540983606557377	0.8372093023255813	0.7384615384615385	0.9166666666666666	0.675	0.6862745098039216	0.7049180327868853
6239_pull	0.7857142857142857	0.736842105263158	0.8181818181818181	0.8923076923076922	0.64	0.6538461538461539	0.4693877551020408	0.3846153846153846	0.42105263157894735	0.0	0.5616438356164384	0.5384615384615384	0.5217391304347826	0.7659574468085106	0.6779661016949152	0.75	0.5306122448979591	0.5692307692307692	0.5853658536585367	0.5961538461538461	0.7241379310344828	0.5344827586206897	0.6	0.6976744186046512	0.5857142857142856	0.5384615384615384	0.4883720930232558	0.8392857142857143	0.7654320987654322	0.5925925925925926	0.717948717948718	0.56	0.6779661016949152	0.8378378378378378	0.6923076923076923	0.8043478260869565	0.6896551724137931	0.7283950617283951	0.7027027027027026	0.653061224489796	0.7313432835820896	0.78	0.791044776119403	0.803921568627451	0.7111111111111111	0.6935483870967742	0.7567567567567568	0.6666666666666667	0.7719298245614035	0.7142857142857143	0.7678571428571428	0.8360655737704918	0.6	0.625
