,Epoch,TrainLoss,ValLoss,ValAcc
0,0,3.1492871268133635,2.901360535091333,0.3493976
1,1,2.990261026672791,2.823177514140312,0.39481002
2,2,2.9164391933380176,2.7734966676913553,0.41519925
3,3,2.8715857876131556,2.761313260927368,0.42354032
4,4,2.8310875420331736,2.6888003885138354,0.46802595
5,5,2.8204046858472887,2.665889124112399,0.48934197
6,6,2.767323147985425,2.6649961236232516,0.47544023
7,7,2.7656156450537646,2.6672817301264065,0.476367
8,8,2.731649033607875,2.60534826211072,0.5152919
9,9,2.708449617760175,2.5827325615096246,0.5393883
10,10,2.6925841753851825,2.5610818214942395,0.5393883
11,11,2.683285839420651,2.5435949611487048,0.56719184
12,12,2.6672311160606403,2.545276465020432,0.56070435
13,13,2.650797388943618,2.5214440384543084,0.5996293
14,14,2.6395896009210085,2.5322800308217377,0.5773865
15,15,2.6513622669404695,2.526659762229601,0.5829472
16,16,2.6327390360324,2.5060573492313116,0.5764597
17,17,2.622775424482427,2.508675893055719,0.5820204
18,18,2.6217644642745044,2.4872705851361308,0.62094533
19,19,2.6085078267171715,2.4830667712381307,0.6218721
20,20,2.605429446343695,2.4721798926067087,0.61353105
21,21,2.610289885392335,2.474326590678557,0.6163114
22,22,2.605106699013732,2.461397865284804,0.639481
23,23,2.584343449234189,2.4566147317755984,0.6404078
24,24,2.585411140469073,2.4590147176586554,0.6459685
25,25,2.5764961523298204,2.445934208512196,0.6570899
26,26,2.577538663336698,2.4433146756870863,0.6561631
27,27,2.5736669960178857,2.452561835705737,0.6450417
28,28,2.5742800344019936,2.4536014678745603,0.6515292
29,29,2.5720328442800695,2.4460889734914724,0.6459685
30,30,2.5651332537149036,2.437118779270598,0.6626506
31,31,2.560844952193977,2.433054517219197,0.65987027
32,32,2.5585691915605775,2.446996199106927,0.6283596
33,33,2.5619289852381857,2.4271551362610837,0.67840594
34,34,2.557897556811378,2.436009003344899,0.6617238
35,35,2.548597214506996,2.4288573361746795,0.66635776
36,36,2.5620036583680372,2.440780953580964,0.6543096
37,37,2.5476295323809395,2.419898831010196,0.6626506
38,38,2.5423186406203175,2.4398059295878793,0.6441149
39,39,2.5494653829498573,2.4157695398217998,0.68860054
40,40,2.5338705083747173,2.4090333112806386,0.68396664
41,41,2.537458183425129,2.414889084480779,0.6858202
42,42,2.5420009027044457,2.422484886436356,0.66635776
43,43,2.540033967214342,2.420656674376674,0.6682113
44,44,2.5361269800833135,2.406332747183871,0.686747
45,45,2.5252799060302715,2.418802100933736,0.68303984
46,46,2.543579480375152,2.4178150807463314,0.66635776
47,47,2.5276654701856023,2.4085702641182634,0.6848934
48,48,2.5324649543426343,2.411404865416694,0.67284524
49,49,2.5229553565369147,2.399000263551079,0.7006487
50,50,2.516553233573567,2.397220118218158,0.6978684
51,51,2.514681842782301,2.404512075332716,0.69416124
52,52,2.5234955996689252,2.398707774140638,0.68396664
53,53,2.51698031803322,2.398829570266248,0.67747915
54,54,2.5201912975289185,2.4000514581095187,0.6858202
55,55,2.519319276659438,2.3997685572855776,0.68303984
56,56,2.5162740042631664,2.3960263975744893,0.6858202
57,57,2.5118137527605913,2.387434215182171,0.68952733
58,58,2.50762019414831,2.405163360012141,0.67284524
59,59,2.5188074812389725,2.38734260880914,0.6923077
60,60,2.5195026631372963,2.391343135680171,0.69416124
61,61,2.5074328960258723,2.3933487802992492,0.68952733
62,62,2.5135142781372086,2.3838686668508244,0.6987952
63,63,2.5052922975696603,2.3847778770965595,0.6904541
64,64,2.5140205140021026,2.3926604567466785,0.7006487
65,65,2.5060033649620466,2.3819946000374945,0.68211305
66,66,2.497291504452911,2.3844910186402104,0.69416124
67,67,2.510415308336288,2.385991217666914,0.7099166
68,68,2.501854507817064,2.386603773137394,0.6904541
69,69,2.5054895105574064,2.3862262644681587,0.7099166
70,70,2.5067611714001603,2.385937402682574,0.6932345
71,71,2.4957205629713344,2.3809030296296516,0.7136237
72,72,2.499705940595482,2.378559688404824,0.7154773
73,73,2.4893711734635615,2.384058680658102,0.7071362
74,74,2.502113690245914,2.384193153100725,0.7154773
75,75,2.498484892465098,2.37982939618732,0.7015755
76,76,2.4947563416434173,2.3779737703826718,0.699722
77,77,2.4947344340639495,2.378582136154838,0.71269697
78,78,2.4912285597596155,2.3736334538658643,0.7154773
79,79,2.4953252654367293,2.3977657717560263,0.7071362
80,80,2.489141396397899,2.3678516657734714,0.72845227
81,81,2.4645612230170535,2.3598323117206226,0.7451344
82,82,2.456557596414812,2.354303646325181,0.7442076
83,83,2.4545859185162247,2.350804522177817,0.7544022
84,84,2.4475665522792807,2.3475336497640917,0.74791473
85,85,2.4539638200327687,2.345657140707064,0.7534754
86,86,2.442888432183235,2.3434139141835364,0.75254864
87,87,2.441945875596956,2.341911253496052,0.75810933
88,88,2.441773061458439,2.3415654576465528,0.7506951
89,89,2.439311646608648,2.3396767758461365,0.7590361
90,90,2.447770194337808,2.3389881076472463,0.7562558
91,91,2.439641259714229,2.3367706644137334,0.7664504
92,92,2.445216823441768,2.335317623681554,0.7645968
93,93,2.4385976769285582,2.3336942152252234,0.7636701
94,94,2.4386449561448313,2.3331592185172467,0.7645968
95,95,2.4383224270429955,2.334406119457984,0.7627433
96,96,2.4335694467170685,2.3319530996102995,0.7720111
97,97,2.4330860997262764,2.330435709311412,0.7645968
98,98,2.4333247101008615,2.33122558089403,0.7720111
99,99,2.4346206980352605,2.3304934643340176,0.7655236
100,100,2.4333082185894166,2.3297428309751727,0.7738647
101,101,2.4291233027334895,2.328830165786805,0.7747915
102,102,2.428015186788861,2.3287650424921478,0.7747915
103,103,2.4258317037022037,2.3283820071355184,0.7673772
104,104,2.4287895151760095,2.3277118437206226,0.7692308
105,105,2.4244941817984964,2.326152730695178,0.77664506
106,106,2.4250303973358354,2.326512153470152,0.7775718
107,107,2.4238195372633187,2.3256263832067097,0.7701576
108,108,2.4267844024966223,2.3249980894584583,0.7747915
109,109,2.4254388297123417,2.324693475584944,0.7803522
110,110,2.427463123983979,2.323303415528926,0.7803522
111,111,2.419559246362416,2.322988304388092,0.78313255
112,112,2.424906889551541,2.321742655282997,0.78313255
113,113,2.426335698178347,2.321696729130829,0.7849861
114,114,2.4213036200147298,2.3216930903749846,0.7720111
115,115,2.418689812439476,2.321298472410667,0.7757183
116,116,2.4235709409011084,2.320412437296002,0.78220576
117,117,2.4179910200408923,2.3195694135337983,0.77664506
118,118,2.4168059602172645,2.319859573446677,0.7849861
119,119,2.418070240717889,2.319724825712351,0.78313255
120,120,2.4163153575900753,2.3194470435960963,0.7794254
121,121,2.4223469774462316,2.320393430650842,0.78313255
122,122,2.4129199914572084,2.3182744082198083,0.7840593
123,123,2.41798897522594,2.319421513805354,0.78220576
124,124,2.421681716996724,2.317614718677823,0.7794254
125,125,2.4161661364504097,2.3168406467729414,0.7757183
126,126,2.414060931552661,2.317460806061539,0.7775718
127,127,2.416274670349215,2.317444195478906,0.7710843
128,128,2.4148587743036165,2.315787941438385,0.7701576
129,129,2.412885975710654,2.3151288869703555,0.7803522
130,130,2.4211654516698258,2.315187046547749,0.78683966
131,131,2.4126981565585504,2.315893590450287,0.7840593
132,132,2.4112149623392685,2.314439444435869,0.78869325
133,133,2.410363129960706,2.3147274089478254,0.78683966
134,134,2.4127080106867806,2.3151531637930227,0.7757183
135,135,2.416009372644009,2.3152786596877584,0.77664506
136,136,2.4153831161151227,2.31402155897814,0.7784986
137,137,2.4072326297998647,2.3141202128684775,0.7803522
138,138,2.4103485430082423,2.313053374521372,0.78683966
139,139,2.4128611324505194,2.3143529825126605,0.7905468
140,140,2.4111692152496174,2.3121900991834456,0.78962004
141,141,2.413326445197043,2.3126578771537716,0.7905468
142,142,2.4090335206150235,2.3115958276449033,0.79240036
143,143,2.411781888161687,2.311527243110181,0.7840593
144,144,2.4063268837495686,2.3121702503119494,0.78313255
145,145,2.4131026253642807,2.311508797295564,0.80074143
146,146,2.412577835192163,2.3109577699763784,0.78683966
147,147,2.409673189210936,2.3110805201353686,0.7849861
148,148,2.411101187844316,2.3121177021610837,0.7905468
149,149,2.411278233912612,2.310714072160305,0.79332715
150,150,2.410211124637814,2.310558683900948,0.78776646
151,151,2.4067251959037073,2.3098541661696483,0.79147357
152,152,2.4096893573437055,2.3095771007177675,0.79332715
153,153,2.404486552695636,2.3098504254395924,0.78683966
154,154,2.4103616168368625,2.3093079178834865,0.79425395
155,155,2.4046447462677625,2.309465514663417,0.79240036
156,156,2.408205680210796,2.3083807097970612,0.79240036
157,157,2.4076467633136893,2.3083786695394615,0.78869325
158,158,2.4017710427480012,2.30775502384869,0.79425395
159,159,2.406194192734551,2.308318121909432,0.78869325
160,160,2.405478244500651,2.3078472883586425,0.7859129
161,161,2.4027686499963767,2.3074921807887048,0.78869325
162,162,2.407248014233751,2.307060887158414,0.7905468
163,163,2.407033920205225,2.3068832102973116,0.79147357
164,164,2.401678408705824,2.306730873917296,0.79518074
165,165,2.401890869406885,2.3066564243186725,0.79425395
166,166,2.4051045749450415,2.306524733242003,0.79425395
167,167,2.401377739952713,2.3062264825095724,0.79796106
168,168,2.401667406318141,2.3062429922228063,0.79425395
169,169,2.402929188754406,2.306038422176858,0.79425395
170,170,2.3998822787495206,2.3060268958869967,0.79703426
171,171,2.4027950609581024,2.3060104249803084,0.79518074
172,172,2.40656275893937,2.30612316354764,0.79610753
173,173,2.3999625727244283,2.3060047972577937,0.79610753
174,174,2.4030864755791352,2.305997691903543,0.79518074
175,175,2.4032912574729175,2.305871033138208,0.79518074
176,176,2.4050177282431924,2.3057977914589216,0.79332715
177,177,2.4034991329251008,2.3057665483226812,0.79332715
178,178,2.4035086030756796,2.3055119013156573,0.79240036
179,179,2.406957771901846,2.3052525737972807,0.79425395
180,180,2.405380570247728,2.305129878437,0.79425395
181,181,2.4045988884758795,2.305133287474665,0.79425395
182,182,2.399845027641857,2.3051049517635067,0.79610753
183,183,2.4021637639146474,2.3052300018110796,0.79518074
184,184,2.4021198881843557,2.3051976750469296,0.79425395
185,185,2.403315293418798,2.3050981949776603,0.79796106
186,186,2.3989916761182215,2.3048127193601182,0.79518074
187,187,2.39959504932469,2.3047654616876927,0.79610753
188,188,2.4028808644405664,2.304942329190637,0.79425395
189,189,2.405241814832979,2.3047637034887734,0.79518074
190,190,2.4033512723898864,2.3047431806815344,0.79703426
191,191,2.4006359398199297,2.304865689217989,0.79888785
192,192,2.4045200838437224,2.3048313210914264,0.79981464
193,193,2.4038012226054355,2.3047567030088674,0.79888785
194,194,2.398956290901094,2.30464570651019,0.79981464
195,195,2.4041592198405914,2.3045978027156817,0.8016682
196,196,2.4104855772629175,2.3045216005250633,0.79888785
197,197,2.4026674021715584,2.304420905161832,0.79703426
198,198,2.401796375191576,2.304477310793835,0.79610753
199,199,2.40385156842268,2.3042905160240603,0.79888785
